"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha127",0.0643329429609495,0.027,0.812,0.77,-0.037,0.2077,1207.697,-0.378886481530856,0.432815169068809,0.0272721397483368
"alpha128",0.0465841069633936,0.082,0.803,0.86,0.036,0.2055,1232.157,-0.320691122647808,0.482684498948369,0.0816962009226784
"alpha129",-0.0574405062197313,-0.064,0.803,0.87,-0.007,0.2056,1197.211,-0.467941385870946,0.335478602085587,-0.0649943616779557
"alpha13",-0.00476820632870194,-0.004,1.305,0.91,0.001,0.3328,975.439,-0.661312624913285,0.643354912556526,-0.00426164618537291
"alpha130",-0.00409747133156139,-0.004,0.811,0.82,0,0.2078,1271.864,-0.410520196692575,0.400751564228219,-0.0038900803572664
"alpha131",0.00703019449010982,0.014,0.814,0.87,0.007,0.2077,1232.662,-0.39242931393954,0.421439600638355,0.0146636796417839
"alpha132",-0.0278175732811394,0.023,0.809,0.88,0.051,0.2067,1214.463,-0.381502196340044,0.427534385746824,0.0229825669550007
"alpha133",0.126316607140879,0.143,0.816,0.85,0.017,0.2084,1207.291,-0.263942499991857,0.551875110611115,0.143273382677339
"alpha134",0.0578715070888389,0.016,0.812,0.82,-0.042,0.208,1224.414,-0.390557068399389,0.421878002501013,0.0158042038570165
"alpha135",-0.0809401206862612,-0.076,0.806,0.87,0.005,0.2059,1209.787,-0.479748584114555,0.326008237298812,-0.0758550987222844
"alpha136",-0.028387704106559,-0.029,0.814,0.92,-0.001,0.208,1223.537,-0.433376735498206,0.380488184081185,-0.0293106090804646
"alpha137",-0.0459352659927535,-0.049,0.815,0.86,-0.003,0.2081,1235.997,-0.455023809163658,0.359511957512154,-0.0484352665320234
"alpha138",-0.0243043490659373,-0.002,0.808,0.88,0.022,0.2064,1213.913,-0.405514076191884,0.402834970586274,-0.00165695684623825
"alpha139",0.000936725894310755,-0.064,0.818,0.89,-0.065,0.2093,1198.249,-0.473128704262327,0.345312614431811,-0.0629389396986126
"alpha14",-0.000548649550655556,0.047,1.303,0.98,0.047,0.3332,982.248,-0.607318154638543,0.695471097794291,0.0459400293475649
"alpha140",0.00610002262205086,0.02,0.798,0.84,0.014,0.2047,1164.757,-0.377958991279351,0.420374725707716,0.0207020989566883
"alpha141",-0.017626739193814,-0.001,0.811,0.91,0.017,0.2074,1252.686,-0.40776041956106,0.403283800206723,-0.000573375064123422
"alpha142",-0.00842003056363513,-0.013,0.807,0.85,-0.004,0.2066,1183.092,-0.416524188704863,0.39011722899155,-0.0127895117417189
"alpha143",0.0740362792205535,0.083,0.815,0.83,0.009,0.2085,1198.675,-0.325717728402165,0.489423025734025,0.0820778647342196
"alpha144",0.0218385082788783,0.051,0.815,0.84,0.029,0.2084,1284.663,-0.356644008120208,0.458447164658961,0.0508726102229398
"alpha145",0.019709302749664,0.01,0.262,0.94,-0.009,0.0667,542.186,-0.120662650142553,0.141062205871713,0.0103435416567998
"alpha146",0.000675145946753632,0.004,0.264,0.91,0.003,0.0674,541.836,-0.128389638057571,0.135349239944586,0.00361772298009186
"alpha147",0.00661148231656889,0.004,0.26,0.95,-0.003,0.0665,542.64,-0.126773997391181,0.133611170041964,0.00376779615133318
"alpha148",0.019775739462998,0.027,0.265,0.93,0.007,0.0675,526.845,-0.105114958586179,0.159750781004266,0.0271340378140881
"alpha149",-0.00325679651139669,-0.003,0.267,0.9,0,0.0682,559.658,-0.137384124207961,0.129268868064992,-0.00309985540003765
"alpha15",-0.0205105249530733,-0.086,1.317,0.92,-0.065,0.3352,957.306,-0.7522102045681,0.565110675033326,-0.0877442221020727
"alpha150",-0.0125326761956324,-0.007,0.272,0.91,0.006,0.0696,573.997,-0.142744136382905,0.129129085547461,-0.00672031313730489
